Date,Asset,Price,Up_moves,Down_moves
01/01/2010,SP500,1116.560059,13,6
01/02/2010,SP500,1073.890015,66,28
01/03/2010,SP500,1105.359985,27,11
01/04/2010,SP500,1171.22998,34,14
01/05/2010,SP500,1188.579956,10,4
01/06/2010,SP500,1087.300049,61,26
01/07/2010,SP500,1031.099976,22,9
01/08/2010,SP500,1107.530029,46,20
01/09/2010,SP500,1049.719971,55,23
01/10/2010,SP500,1143.48999,10,4
01/11/2010,SP500,1185.709961,56,24
01/12/2010,SP500,1186.599976,29,13
01/01/2011,SP500,1257.619995,53,23
01/02/2011,SP500,1289.140015,30,13
01/03/2011,SP500,1328.640015,27,11
01/04/2011,SP500,1329.47998,54,23
01/05/2011,SP500,1365.209961,36,15
01/06/2011,SP500,1345.199951,34,14
01/07/2011,SP500,1320.640015,15,7
01/08/2011,SP500,1292.589966,69,29
01/09/2011,SP500,1219.119995,1,0
01/10/2011,SP500,1131.209961,55,23
01/11/2011,SP500,1251,32,14
01/12/2011,SP500,1246.910034,22,9
01/01/2012,SP500,1258.859985,32,14
01/02/2012,SP500,1312.449951,9,4
01/03/2012,SP500,1365.900024,17,7
01/04/2012,SP500,1408.469971,7,3
01/05/2012,SP500,1397.859985,14,6
01/06/2012,SP500,1309.869995,43,18
01/07/2012,SP500,1362.329956,31,13
01/08/2012,SP500,1379.319946,62,27
01/09/2012,SP500,1406.540039,57,24
01/10/2012,SP500,1440.900024,29,13
01/11/2012,SP500,1412.199951,45,19
01/12/2012,SP500,1416.339966,31,13
01/01/2013,SP500,1426.189941,45,19
01/02/2013,SP500,1498.109985,38,16
01/03/2013,SP500,1514.680054,39,17
01/04/2013,SP500,1569.180054,1,1
01/05/2013,SP500,1597.550049,11,5
01/06/2013,SP500,1631.709961,27,11
01/07/2013,SP500,1609.780029,9,4
01/08/2013,SP500,1689.420044,0,0
01/09/2013,SP500,1635.949951,22,9
01/10/2013,SP500,1682.410034,53,23
01/11/2013,SP500,1758.699951,47,20
01/12/2013,SP500,1806.550049,11,5
01/01/2014,SP500,1845.859985,70,30
01/02/2014,SP500,1782.680054,0,0
01/03/2014,SP500,1857.680054,69,30
01/04/2014,SP500,1873.959961,3,1
01/05/2014,SP500,1884.390015,57,25
01/06/2014,SP500,1923.869995,50,22
01/07/2014,SP500,1962.290039,1,1
01/08/2014,SP500,1929.800049,20,8
01/09/2014,SP500,2004.069946,51,22
01/10/2014,SP500,1971.439941,67,29
01/11/2014,SP500,2018.209961,69,29
01/12/2014,SP500,2065.780029,46,20
01/01/2015,SP500,2058.899902,9,4
01/02/2015,SP500,1996.670044,57,25
01/03/2015,SP500,2105.22998,6,2
01/04/2015,SP500,2067.629883,47,20
01/05/2015,SP500,2087.379883,1,0
01/06/2015,SP500,2108.639893,50,22
01/07/2015,SP500,2067,42,18
01/08/2015,SP500,2104.48999,50,21
01/09/2015,SP500,1970.089966,55,23
01/10/2015,SP500,1919.650024,54,23
01/11/2015,SP500,2080.76001,46,20
01/12/2015,SP500,2082.929932,15,7
01/01/2016,SP500,2038.199951,15,6
01/02/2016,SP500,1936.939941,4,2
01/03/2016,SP500,1937.089966,7,3
01/04/2016,SP500,2056.620117,43,18
01/05/2016,SP500,2067.169922,37,16
01/06/2016,SP500,2093.939941,33,14
01/07/2016,SP500,2099.340088,62,27
01/08/2016,SP500,2173.149902,31,13
